Scientific Name,Count
Pomacentrus adelus,12
Plectroglyphidodon dickii,10
Pomacentrus vaiuli,7
Pomacentrus coelestis,6
Pomacentrus bankanensis,5
Halichoeres marginatus,4
Plectroglyphidodon lacrymatus,4
Pomacentrus moluccensis,2
Stethojulis strigiventer,2
Stegastes fasciolatus,2
Chrysiptera rex,2
Thalassoma lunare,1
Halichoeres melanurus,1
Acanthochromis polyacanthus,1
Zanclus cornutus,1
